participant, age, gender, handedness, block_number, stim1, stim2, stim3, stim4, stimulus, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, resp
33,23,female,right,1,images/PICTURE_547.png,images/PICTURE_681.png,images/PICTURE_96.png,images/PICTURE_684.png,<div><img width = '150' height = '150' src = 'images/PICTURE_96.png'></img></div>,d,J,FALSE,1236,13170,1158,290382,undefined,undefined
33,23,female,right,2,images/PICTURE_453.png,images/PICTURE_672.png,images/PICTURE_611.png,images/PICTURE_562.png,<div><img width = '150' height = '150' src = 'images/PICTURE_453.png'></img></div>,d,D,TRUE,959,7793,953,302102,undefined,undefined
33,23,female,right,3,images/PICTURE_7.png,images/PICTURE_476.png,images/PICTURE_365.png,images/PICTURE_1.png,<div><img width = '150' height = '150' src = 'images/PICTURE_365.png'></img></div>,j,J,TRUE,1021,7431,1141,313717,undefined,undefined
33,23,female,right,4,images/PICTURE_635.png,images/PICTURE_452.png,images/PICTURE_554.png,images/PICTURE_202.png,<div><img width = '150' height = '150' src = 'images/PICTURE_452.png'></img></div>,f,F,TRUE,698,5878,726,323037,undefined,undefined
33,23,female,right,5,images/PICTURE_316.png,images/PICTURE_221.png,images/PICTURE_168.png,images/PICTURE_679.png,<div><img width = '150' height = '150' src = 'images/PICTURE_168.png'></img></div>,j,J,TRUE,522,10949,729,337243,undefined,undefined
33,23,female,right,6,images/PICTURE_675.png,images/PICTURE_380.png,images/PICTURE_93.png,images/PICTURE_368.png,<div><img width = '150' height = '150' src = 'images/PICTURE_93.png'></img></div>,j,J,TRUE,345,10853,869,351332,undefined,undefined
33,23,female,right,7,images/PICTURE_154.png,images/PICTURE_296.png,images/PICTURE_630.png,images/PICTURE_640.png,<div><img width = '150' height = '150' src = 'images/PICTURE_154.png'></img></div>,d,D,TRUE,985,8992,750,364083,undefined,undefined
33,23,female,right,8,images/PICTURE_671.png,images/PICTURE_428.png,images/PICTURE_606.png,images/PICTURE_322.png,<div><img width = '150' height = '150' src = 'images/PICTURE_322.png'></img></div>,f,K,FALSE,482,4728,567,371880,undefined,undefined
33,23,female,right,9,images/PICTURE_584.png,images/PICTURE_62.png,images/PICTURE_626.png,images/PICTURE_638.png,<div><img width = '150' height = '150' src = 'images/PICTURE_584.png'></img></div>,d,D,TRUE,4671,5140,579,384284,undefined,undefined
33,23,female,right,10,images/PICTURE_72.png,images/PICTURE_561.png,images/PICTURE_251.png,images/PICTURE_484.png,<div><img width = '150' height = '150' src = 'images/PICTURE_251.png'></img></div>,j,J,TRUE,597,8360,535,395787,undefined,undefined
33,23,female,right,11,images/PICTURE_161.png,images/PICTURE_237.png,images/PICTURE_194.png,images/PICTURE_133.png,<div><img width = '150' height = '150' src = 'images/PICTURE_237.png'></img></div>,f,F,TRUE,253,5709,493,404250,undefined,undefined
33,23,female,right,12,images/PICTURE_28.png,images/PICTURE_487.png,images/PICTURE_387.png,images/PICTURE_454.png,<div><img width = '150' height = '150' src = 'images/PICTURE_28.png'></img></div>,d,D,TRUE,360,6612,852,414079,undefined,undefined
