participant, age, gender, handedness, imageletter_con, block_number, block_type, letter_block, stim1, stim2, stim3, stim4, stimulus, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, resp
35,21,female,right,0,1,0,0,images/PICTURE_653.png,images/PICTURE_296.png,images/PICTURE_523.png,images/PICTURE_318.png,<div><img width = '150' height = '150' src = 'images/PICTURE_523.png'></img></div>,j,J,TRUE,1400,18791,1996,344686,undefined,undefined
35,21,female,right,0,2,0,0,images/PICTURE_71.png,images/PICTURE_651.png,images/PICTURE_234.png,images/PICTURE_546.png,<div><img width = '150' height = '150' src = 'images/PICTURE_71.png'></img></div>,d,D,TRUE,6668,10051,504,363918,undefined,undefined
35,21,female,right,0,3,0,0,images/PICTURE_116.png,images/PICTURE_93.png,images/PICTURE_744.png,images/PICTURE_357.png,<div><img width = '150' height = '150' src = 'images/PICTURE_116.png'></img></div>,f,D,FALSE,420,3250,664,370262,undefined,undefined
35,21,female,right,0,4,0,0,images/PICTURE_654.png,images/PICTURE_633.png,images/PICTURE_3.png,images/PICTURE_516.png,<div><img width = '150' height = '150' src = 'images/PICTURE_516.png'></img></div>,k,K,TRUE,601,5189,612,378672,undefined,undefined
35,21,female,right,0,5,0,0,images/PICTURE_362.png,images/PICTURE_211.png,images/PICTURE_549.png,images/PICTURE_132.png,<div><img width = '150' height = '150' src = 'images/PICTURE_362.png'></img></div>,d,D,TRUE,1298,4555,1228,387761,undefined,undefined
35,21,female,right,0,6,0,0,images/PICTURE_72.png,images/PICTURE_57.png,images/PICTURE_79.png,images/PICTURE_343.png,<div><img width = '150' height = '150' src = 'images/PICTURE_57.png'></img></div>,f,F,TRUE,591,4983,1237,396580,undefined,undefined
35,21,female,right,0,7,0,0,images/PICTURE_163.png,images/PICTURE_445.png,images/PICTURE_75.png,images/PICTURE_713.png,<div><img width = '150' height = '150' src = 'images/PICTURE_75.png'></img></div>,j,J,TRUE,301,24834,1231,424956,undefined,undefined
35,21,female,right,0,8,0,0,images/PICTURE_390.png,images/PICTURE_679.png,images/PICTURE_478.png,images/PICTURE_629.png,<div><img width = '150' height = '150' src = 'images/PICTURE_390.png'></img></div>,d,D,TRUE,445,2423,979,430814,undefined,undefined
35,21,female,right,0,9,0,0,images/PICTURE_369.png,images/PICTURE_117.png,images/PICTURE_267.png,images/PICTURE_237.png,<div><img width = '150' height = '150' src = 'images/PICTURE_237.png'></img></div>,k,K,TRUE,474,5000,460,438756,undefined,undefined
35,21,female,right,0,10,0,0,images/PICTURE_375.png,images/PICTURE_746.png,images/PICTURE_158.png,images/PICTURE_78.png,<div><img width = '150' height = '150' src = 'images/PICTURE_746.png'></img></div>,k,F,FALSE,379,4105,896,446145,undefined,undefined
35,21,female,right,0,11,0,0,images/PICTURE_627.png,images/PICTURE_568.png,images/PICTURE_283.png,images/PICTURE_373.png,<div><img width = '150' height = '150' src = 'images/PICTURE_373.png'></img></div>,k,K,TRUE,289,4171,1473,454089,undefined,undefined
35,21,female,right,0,12,0,0,images/PICTURE_573.png,images/PICTURE_277.png,images/PICTURE_286.png,images/PICTURE_98.png,<div><img width = '150' height = '150' src = 'images/PICTURE_286.png'></img></div>,f,J,FALSE,397,4610,963,462069,undefined,undefined
35,21,female,right,0,13,0,0,images/PICTURE_302.png,images/PICTURE_604.png,images/PICTURE_372.png,images/PICTURE_84.png,<div><img width = '150' height = '150' src = 'images/PICTURE_84.png'></img></div>,k,K,TRUE,463,4409,365,469318,undefined,undefined
35,21,female,right,0,14,0,0,images/PICTURE_122.png,images/PICTURE_251.png,images/PICTURE_668.png,images/PICTURE_441.png,<div><img width = '150' height = '150' src = 'images/PICTURE_251.png'></img></div>,f,F,TRUE,236,3257,1346,476167,undefined,undefined
35,21,female,right,0,15,0,0,images/PICTURE_216.png,images/PICTURE_637.png,images/PICTURE_597.png,images/PICTURE_314.png,<div><img width = '150' height = '150' src = 'images/PICTURE_216.png'></img></div>,d,D,TRUE,273,4087,547,483083,undefined,undefined
35,21,female,right,0,16,0,0,images/PICTURE_452.png,images/PICTURE_596.png,images/PICTURE_134.png,images/PICTURE_223.png,<div><img width = '150' height = '150' src = 'images/PICTURE_223.png'></img></div>,d,K,FALSE,232,3074,466,488867,undefined,undefined
35,21,female,right,0,17,1,1,images/PICTURE_12.png,images/PICTURE_235.png,images/PICTURE_581.png,images/PICTURE_392.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_392.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">K</div></a></div>",k,K,TRUE,3926,5453,670,501195,undefined,undefined
35,21,female,right,0,18,1,1,images/PICTURE_716.png,images/PICTURE_628.png,images/PICTURE_305.png,images/PICTURE_745.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_745.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">K</div></a></div>",k,K,TRUE,965,1956,483,506607,undefined,undefined
35,21,female,right,0,19,1,1,images/PICTURE_161.png,images/PICTURE_410.png,images/PICTURE_750.png,images/PICTURE_162.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_162.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">K</div></a></div>",k,K,TRUE,353,2245,416,511632,undefined,undefined
35,21,female,right,0,20,1,0,images/PICTURE_160.png,images/PICTURE_587.png,images/PICTURE_711.png,images/PICTURE_40.png,<div><img width = '150' height = '150' src = 'images/PICTURE_160.png'></img></div>,j,D,FALSE,448,2139,1138,517369,undefined,undefined
35,21,female,right,0,21,1,0,images/PICTURE_164.png,images/PICTURE_261.png,images/PICTURE_361.png,images/PICTURE_482.png,<div><img width = '150' height = '150' src = 'images/PICTURE_261.png'></img></div>,f,F,TRUE,385,5969,696,526430,undefined,undefined
35,21,female,right,0,22,1,1,images/PICTURE_379.png,images/PICTURE_504.png,images/PICTURE_586.png,images/PICTURE_405.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_504.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">F</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",f,F,TRUE,374,3818,810,533441,undefined,undefined
35,21,female,right,0,23,1,1,images/PICTURE_550.png,images/PICTURE_576.png,images/PICTURE_474.png,images/PICTURE_92.png,"<div id=""images""><a><img src=""images/PICTURE_550.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">D</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",d,D,TRUE,289,2957,591,539287,undefined,undefined
35,21,female,right,0,24,1,0,images/PICTURE_252.png,images/PICTURE_646.png,images/PICTURE_505.png,images/PICTURE_356.png,<div><img width = '150' height = '150' src = 'images/PICTURE_356.png'></img></div>,k,K,TRUE,272,2482,513,544562,undefined,undefined
35,21,female,right,0,25,1,0,images/PICTURE_728.png,images/PICTURE_558.png,images/PICTURE_99.png,images/PICTURE_178.png,<div><img width = '150' height = '150' src = 'images/PICTURE_99.png'></img></div>,j,J,TRUE,458,2322,681,550033,undefined,undefined
35,21,female,right,0,26,1,0,images/PICTURE_312.png,images/PICTURE_439.png,images/PICTURE_415.png,images/PICTURE_127.png,<div><img width = '150' height = '150' src = 'images/PICTURE_439.png'></img></div>,f,F,TRUE,270,2368,620,555302,undefined,undefined
35,21,female,right,0,27,1,0,images/PICTURE_108.png,images/PICTURE_433.png,images/PICTURE_7.png,images/PICTURE_601.png,<div><img width = '150' height = '150' src = 'images/PICTURE_7.png'></img></div>,j,J,TRUE,252,2350,725,560639,undefined,undefined
35,21,female,right,0,28,1,1,images/PICTURE_256.png,images/PICTURE_565.png,images/PICTURE_692.png,images/PICTURE_457.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_565.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">F</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",f,F,TRUE,238,1679,646,565213,undefined,undefined
35,21,female,right,0,29,1,1,images/PICTURE_345.png,images/PICTURE_397.png,images/PICTURE_298.png,images/PICTURE_655.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_397.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">F</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",f,F,TRUE,225,2838,532,570819,undefined,undefined
35,21,female,right,0,30,1,1,images/PICTURE_170.png,images/PICTURE_689.png,images/PICTURE_725.png,images/PICTURE_344.png,"<div id=""images""><a><img src=""images/PICTURE_170.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">D</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",d,D,TRUE,236,3080,511,576654,undefined,undefined
35,21,female,right,0,31,1,1,images/PICTURE_336.png,images/PICTURE_662.png,images/PICTURE_684.png,images/PICTURE_407.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_662.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">F</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",f,F,TRUE,22,4472,446,583605,undefined,undefined
