participant, age, gender, handedness, imageletter_con, block_number, block_type, letter_block, stim1, stim2, stim3, stim4, stimulus, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, resp
8,25,male,right,1,1,1,1,images/PICTURE_149.png,images/PICTURE_80.png,images/PICTURE_523.png,images/PICTURE_566.png,"<div id=""images""><a><img src=""images/PICTURE_149.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">D</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",f,D,FALSE,1423,9542,4880,183187,undefined,undefined
8,25,male,right,1,2,1,1,images/PICTURE_283.png,images/PICTURE_478.png,images/PICTURE_410.png,images/PICTURE_40.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_410.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">J</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",j,J,TRUE,1798,8311,2641,197947,undefined,undefined
8,25,male,right,1,3,1,0,images/PICTURE_199.png,images/PICTURE_314.png,images/PICTURE_489.png,images/PICTURE_718.png,<div><img width = '150' height = '150' src = 'images/PICTURE_489.png'></img></div>,f,J,FALSE,1927,9646,1258,212786,undefined,undefined
8,25,male,right,1,4,1,1,images/PICTURE_79.png,images/PICTURE_652.png,images/PICTURE_277.png,images/PICTURE_637.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_637.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">K</div></a></div>",k,K,TRUE,3783,16727,1217,236522,undefined,undefined
8,25,male,right,1,5,1,1,images/PICTURE_116.png,images/PICTURE_151.png,images/PICTURE_682.png,images/PICTURE_370.png,"<div id=""images""><a><img src=""images/PICTURE_116.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">D</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",d,D,TRUE,1184,3871,889,244474,undefined,undefined
8,25,male,right,1,6,1,1,images/PICTURE_132.png,images/PICTURE_581.png,images/PICTURE_626.png,images/PICTURE_720.png,"<div id=""images""><a><img src=""images/PICTURE_132.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">D</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",d,D,TRUE,1817,12191,738,261227,undefined,undefined
8,25,male,right,1,7,1,1,images/PICTURE_474.png,images/PICTURE_212.png,images/PICTURE_15.png,images/PICTURE_627.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_15.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">J</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",j,J,TRUE,672,5056,625,269587,undefined,undefined
8,25,male,right,1,8,1,1,images/PICTURE_693.png,images/PICTURE_37.png,images/PICTURE_491.png,images/PICTURE_620.png,"<div id=""images""><a><img src=""images/PICTURE_693.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">D</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a></div>",d,D,TRUE,688,4471,592,277347,undefined,undefined
8,25,male,right,1,9,1,0,images/PICTURE_725.png,images/PICTURE_96.png,images/PICTURE_512.png,images/PICTURE_485.png,<div><img width = '150' height = '150' src = 'images/PICTURE_96.png'></img></div>,f,F,TRUE,472,4543,1673,286043,undefined,undefined
8,25,male,right,1,10,1,1,images/PICTURE_343.png,images/PICTURE_397.png,images/PICTURE_645.png,images/PICTURE_684.png,"<div id=""images""><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""instructions/placeholder.PNG"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">-</div></a><a><img src=""images/PICTURE_684.png"" width=""150px"" height=""150px"" style=""padding-bottom: 50px;""><div class=""caption"">K</div></a></div>",k,K,TRUE,751,6767,738,296307,undefined,undefined
