prolific_ID, age, gender, handedness, imageletter_con, block_number, block_type, letter_block, stim1, stim2, stim3, stim4, stimulus, stimulus_html, image_position, pressed_key, correct_key, correct, startRT, prepRT, rt, time_elapsed, factor, qnumber, resp
99,20,male,right,order_75_25,1,75,0,images/PICTURE_25.png,images/PICTURE_735.png,images/PICTURE_297.png,images/PICTURE_606.png,images/PICTURE_297.png,<div><img width = '150' height = '150' src = 'images/PICTURE_297.png'></img></div>,2,j,J,true,919,17902,1753,915662,undefined,undefined,undefined
99,20,male,right,order_75_25,2,75,0,images/PICTURE_142.png,images/PICTURE_96.png,images/PICTURE_311.png,images/PICTURE_308.png,images/PICTURE_311.png,<div><img width = '150' height = '150' src = 'images/PICTURE_311.png'></img></div>,2,j,J,true,3191,7783,1401,930046,undefined,undefined,undefined
99,20,male,right,order_75_25,3,75,0,images/PICTURE_372.png,images/PICTURE_566.png,images/PICTURE_478.png,images/PICTURE_684.png,images/PICTURE_372.png,<div><img width = '150' height = '150' src = 'images/PICTURE_372.png'></img></div>,0,d,D,true,1127,8919,417,942519,undefined,undefined,undefined
99,20,male,right,order_75_25,4,75,0,images/PICTURE_111.png,images/PICTURE_744.png,images/PICTURE_176.png,images/PICTURE_584.png,images/PICTURE_584.png,<div><img width = '150' height = '150' src = 'images/PICTURE_584.png'></img></div>,3,k,K,true,13255,4095,1090,962966,undefined,undefined,undefined
99,20,male,right,order_75_25,5,75,0,images/PICTURE_261.png,images/PICTURE_601.png,images/PICTURE_326.png,images/PICTURE_419.png,images/PICTURE_326.png,<div><img width = '150' height = '150' src = 'images/PICTURE_326.png'></img></div>,2,j,J,true,1001,5047,705,971726,undefined,undefined,undefined
99,20,male,right,order_75_25,6,75,0,images/PICTURE_149.png,images/PICTURE_529.png,images/PICTURE_7.png,images/PICTURE_258.png,images/PICTURE_258.png,<div><img width = '150' height = '150' src = 'images/PICTURE_258.png'></img></div>,3,k,K,true,1159,5399,802,981094,undefined,undefined,undefined
99,20,male,right,order_75_25,7,75,1,images/PICTURE_721.png,images/PICTURE_262.png,images/PICTURE_537.png,images/PICTURE_724.png,images/PICTURE_537.png,<div id="images"><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="images/PICTURE_724.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">J</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a></div>,3,j,J,true,657,5487,2072,991318,undefined,undefined,undefined
99,20,male,right,order_75_25,8,75,1,images/PICTURE_232.png,images/PICTURE_745.png,images/PICTURE_391.png,images/PICTURE_420.png,images/PICTURE_232.png,<div id="images"><a><img src="images/PICTURE_420.png" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">D</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a><a><img src="instructions/placeholder.PNG" width="150px" height="150px" style="padding-bottom: 50px;"><div class="caption">-</div></a></div>,3,d,D,true,904,4758,2577,1001566,undefined,undefined,undefined
99,20,male,right,order_75_25,9,75,0,images/PICTURE_628.png,images/PICTURE_15.png,images/PICTURE_577.png,images/PICTURE_406.png,images/PICTURE_577.png,<div><img width = '150' height = '150' src = 'images/PICTURE_577.png'></img></div>,2,j,J,true,1416,4575,1082,1010646,undefined,undefined,undefined
99,20,male,right,order_75_25,10,75,0,images/PICTURE_126.png,images/PICTURE_725.png,images/PICTURE_734.png,images/PICTURE_661.png,images/PICTURE_661.png,<div><img width = '150' height = '150' src = 'images/PICTURE_661.png'></img></div>,3,k,K,true,590,6255,1401,1020902,undefined,undefined,undefined
